NO2,t-1
4.033096204996885e-05,4.033096204996885e-05
4.033096204996885e-05,4.033096204996885e-05
3.8062503563918336e-05,4.033096204996885e-05
3.579404507786782e-05,3.8062503563918336e-05
3.3525586591817304e-05,3.579404507786782e-05
3.88474594441696e-05,3.3525586591817304e-05
2.161496740882285e-05,3.88474594441696e-05
3.417051387562727e-05,2.161496740882285e-05
3.809546249100001e-05,3.417051387562727e-05
4.2020411106372754e-05,3.809546249100001e-05
4.16311927363115e-05,4.2020411106372754e-05
4.124197436625024e-05,4.16311927363115e-05
4.0852755996188985e-05,4.124197436625024e-05
4.046353762612773e-05,4.0852755996188985e-05
4.007431925606647e-05,4.046353762612773e-05
3.9685100886005215e-05,4.007431925606647e-05
3.929588251594396e-05,3.9685100886005215e-05
4.7443250120219695e-05,3.929588251594396e-05
5.559061772449543e-05,4.7443250120219695e-05
6.0095151378699994e-05,5.559061772449543e-05
5.170900749362772e-05,6.0095151378699994e-05
5.3439599094631645e-05,5.170900749362772e-05
5.517019069563556e-05,5.3439599094631645e-05
5.690078229663948e-05,5.517019069563556e-05
3.818897675955668e-05,5.690078229663948e-05
3.6051868088785945e-05,3.818897675955668e-05
3.3914759418015215e-05,3.6051868088785945e-05
3.177765074724448e-05,3.3914759418015215e-05
2.964054207647375e-05,3.177765074724448e-05
2.7503433405703014e-05,2.964054207647375e-05
2.536632473493228e-05,2.7503433405703014e-05
1.7913165720528923e-05,2.536632473493228e-05
2.3542947019450366e-05,1.7913165720528923e-05
2.6665690408359904e-05,2.3542947019450366e-05
2.978843379726944e-05,2.6665690408359904e-05
1.423721255378041e-05,2.978843379726944e-05
2.6807856605565966e-05,1.423721255378041e-05
3.937850065735152e-05,2.6807856605565966e-05
3.788348476518877e-05,3.937850065735152e-05
4.5687875994883055e-05,3.788348476518877e-05
5.349226722457734e-05,4.5687875994883055e-05
6.0095151378699994e-05,5.349226722457734e-05
4.178895199545781e-05,6.0095151378699994e-05
1.953757661491788e-05,4.178895199545781e-05
1.4914110027218288e-05,1.953757661491788e-05
1.9811824131465983e-05,1.4914110027218288e-05
2.586471846707691e-05,1.9811824131465983e-05
3.191761280268784e-05,2.586471846707691e-05
3.797050713829877e-05,3.191761280268784e-05
3.613679646441473e-05,3.797050713829877e-05
3.4303085790530706e-05,3.613679646441473e-05
3.246937511664667e-05,3.4303085790530706e-05
3.0635664442762645e-05,3.246937511664667e-05
2.880195376887861e-05,3.0635664442762645e-05
2.696824309499458e-05,2.880195376887861e-05
3.6538584671771706e-05,2.696824309499458e-05
4.610892624854883e-05,3.6538584671771706e-05
5.567926782532595e-05,4.610892624854883e-05
3.1986257727112386e-05,5.567926782532595e-05
2.8566129003593232e-05,3.1986257727112386e-05
2.550425704157533e-05,2.8566129003593232e-05
3.255336832808098e-05,2.550425704157533e-05
1.5197319705541965e-05,3.255336832808098e-05
1.6376419935036004e-05,1.5197319705541965e-05
1.7555520164530044e-05,1.6376419935036004e-05
1.8734620394024084e-05,1.7555520164530044e-05
1.991372062351812e-05,1.8734620394024084e-05
2.109282085301216e-05,1.991372062351812e-05
2.22719210825062e-05,2.109282085301216e-05
1.7069572995372557e-05,2.22719210825062e-05
1.7104604120981614e-05,1.7069572995372557e-05
1.713963524659067e-05,1.7104604120981614e-05
1.7174666372199725e-05,1.713963524659067e-05
1.7209697497808782e-05,1.7174666372199725e-05
1.724472862341784e-05,1.7209697497808782e-05
1.7279759749026896e-05,1.724472862341784e-05
2.5603380786028887e-05,1.7279759749026896e-05
3.392700182303088e-05,2.5603380786028887e-05
3.5291836618191816e-05,3.392700182303088e-05
3.617233910537511e-05,3.5291836618191816e-05
3.705284159255841e-05,3.617233910537511e-05
3.7933344079741706e-05,3.705284159255841e-05
3.8813846566925e-05,3.7933344079741706e-05
2.7548957624621207e-05,3.8813846566925e-05
3.173090184505921e-05,2.7548957624621207e-05
1.985512241325133e-05,3.173090184505921e-05
2.1785665776297674e-05,1.985512241325133e-05
2.3716209139344018e-05,2.1785665776297674e-05
2.564675250239036e-05,2.3716209139344018e-05
2.7577295865436704e-05,2.564675250239036e-05
2.5166240304644004e-05,2.7577295865436704e-05
2.275518474385131e-05,2.5166240304644004e-05
2.034412918305861e-05,2.275518474385131e-05
2.9147288606799928e-05,2.034412918305861e-05
3.795044803054124e-05,2.9147288606799928e-05
2.2190726440385333e-05,3.795044803054124e-05
1.297575181524735e-05,2.2190726440385333e-05
1.3237708420395696e-05,1.297575181524735e-05
1.3499665025544042e-05,1.3237708420395696e-05
1.3761621630692389e-05,1.3499665025544042e-05
1.4023578235840736e-05,1.3761621630692389e-05
1.4285534840989081e-05,1.4023578235840736e-05
1.4547491446137428e-05,1.4285534840989081e-05
1.4809448051285775e-05,1.4547491446137428e-05
1.507140465643412e-05,1.4809448051285775e-05
1.5333361261582468e-05,1.507140465643412e-05
1.4090241661919704e-05,1.5333361261582468e-05
6.0095151378699994e-05,1.4090241661919704e-05
6.0095151378699994e-05,6.0095151378699994e-05
5.833188246200465e-05,6.0095151378699994e-05
4.240758415916288e-05,5.833188246200465e-05
4.426459084837776e-05,4.240758415916288e-05
2.637872084425694e-05,4.426459084837776e-05
3.405755177907656e-05,2.637872084425694e-05
4.173638271389618e-05,3.405755177907656e-05
5.531057468033396e-05,4.173638271389618e-05
3.0388417018974875e-05,5.531057468033396e-05
2.768180917579836e-05,3.0388417018974875e-05
2.7362656520712004e-05,2.768180917579836e-05
4.2459069899290194e-05,2.7362656520712004e-05
3.475083560749012e-05,4.2459069899290194e-05
2.7042601315690047e-05,3.475083560749012e-05
1.9334367023889974e-05,2.7042601315690047e-05
1.16261327320899e-05,1.9334367023889974e-05
3.5701094020623714e-05,1.16261327320899e-05
3.224680416832629e-05,3.5701094020623714e-05
2.8792514316028864e-05,3.224680416832629e-05
2.533822446373144e-05,2.8792514316028864e-05
2.1883934611434015e-05,2.533822446373144e-05
3.583453222485592e-05,2.1883934611434015e-05
2.9977171425885207e-05,3.583453222485592e-05
2.4119810626914495e-05,2.9977171425885207e-05
