date,feature_index,NO2
2025-02-11T00:00:00.000Z,0,
2025-02-12T00:00:00.000Z,0,6.129665845427163E-5
2025-02-13T00:00:00.000Z,0,4.1788951995457814E-5
2025-02-10T00:00:00.000Z,0,
2025-02-14T00:00:00.000Z,0,1.9537576614917878E-5
2025-02-15T00:00:00.000Z,0,1.4914110027218288E-5
2025-02-09T00:00:00.000Z,0,3.788348476518877E-5
2025-02-16T00:00:00.000Z,0,1.9811824131465983E-5
2025-05-12T00:00:00.000Z,0,
2025-05-11T00:00:00.000Z,0,3.583453222485592E-5
2025-05-10T00:00:00.000Z,0,2.1883934611434018E-5
2025-05-15T00:00:00.000Z,0,
2025-05-14T00:00:00.000Z,0,1.8262449827943783E-5
2025-05-13T00:00:00.000Z,0,
2025-05-09T00:00:00.000Z,0,
2025-05-08T00:00:00.000Z,0,
2025-06-26T00:00:00.000Z,0,
2025-07-01T00:00:00.000Z,0,1.601823525895987E-5
2025-06-29T00:00:00.000Z,0,
2025-06-27T00:00:00.000Z,0,1.1414168957694179E-5
2025-06-30T00:00:00.000Z,0,1.2639021065297129E-5
2025-07-02T00:00:00.000Z,0,2.157249388080251E-5
2025-06-28T00:00:00.000Z,0,
2025-06-25T00:00:00.000Z,0,
2025-09-30T00:00:00.000Z,0,
2025-09-29T00:00:00.000Z,0,2.787153753160965E-5
2025-04-23T00:00:00.000Z,0,4.426459084837776E-5
2025-04-25T00:00:00.000Z,0,
2025-04-27T00:00:00.000Z,0,5.531057468033396E-5
2025-04-24T00:00:00.000Z,0,2.637872084425694E-5
2025-04-28T00:00:00.000Z,0,3.0388417018974875E-5
2025-04-29T00:00:00.000Z,0,2.768180917579836E-5
2025-04-22T00:00:00.000Z,0,4.240758415916288E-5
2025-04-26T00:00:00.000Z,0,4.173638271389618E-5
2025-03-08T00:00:00.000Z,0,
2025-03-12T00:00:00.000Z,0,1.7069572995372557E-5
2025-03-05T00:00:00.000Z,0,1.5197319705541965E-5
2025-03-11T00:00:00.000Z,0,2.2271921082506196E-5
2025-03-06T00:00:00.000Z,0,
2025-03-07T00:00:00.000Z,0,
2025-03-10T00:00:00.000Z,0,
2025-03-09T00:00:00.000Z,0,
2025-02-05T00:00:00.000Z,0,2.9788433797269438E-5
2025-02-07T00:00:00.000Z,0,
2025-02-01T00:00:00.000Z,0,2.5366324734932277E-5
2025-02-03T00:00:00.000Z,0,2.3542947019450366E-5
2025-02-06T00:00:00.000Z,0,1.423721255378041E-5
2025-02-04T00:00:00.000Z,0,
2025-02-08T00:00:00.000Z,0,3.937850065735152E-5
2025-02-02T00:00:00.000Z,0,1.7913165720528923E-5
2025-08-11T00:00:00.000Z,0,2.1004000981996623E-5
2025-08-09T00:00:00.000Z,0,2.1043339817846834E-5
2025-08-10T00:00:00.000Z,0,2.4242440859880946E-5
2025-08-04T00:00:00.000Z,0,2.754215893219225E-5
2025-08-07T00:00:00.000Z,0,2.2564668352760447E-5
2025-08-08T00:00:00.000Z,0,2.1849510289939644E-5
2025-08-05T00:00:00.000Z,0,
2025-08-06T00:00:00.000Z,0,2.6748916575343173E-5
2025-06-18T00:00:00.000Z,0,3.911618478014134E-5
2025-06-20T00:00:00.000Z,0,
2025-06-22T00:00:00.000Z,0,
2025-06-19T00:00:00.000Z,0,
2025-06-24T00:00:00.000Z,0,2.3276796751888057E-5
2025-06-17T00:00:00.000Z,0,1.937580902146389E-5
2025-06-23T00:00:00.000Z,0,1.5567875270453106E-5
2025-06-21T00:00:00.000Z,0,1.9649856966452717E-5
2025-04-02T00:00:00.000Z,0,
2025-03-30T00:00:00.000Z,0,
2025-04-05T00:00:00.000Z,0,
2025-03-29T00:00:00.000Z,0,
2025-04-04T00:00:00.000Z,0,2.0344129183058612E-5
2025-03-31T00:00:00.000Z,0,
2025-04-01T00:00:00.000Z,0,2.7577295865436704E-5
2025-04-03T00:00:00.000Z,0,
2025-03-27T00:00:00.000Z,0,3.173090184505921E-5
2025-03-26T00:00:00.000Z,0,2.7548957624621207E-5
2025-03-21T00:00:00.000Z,0,3.5291836618191816E-5
2025-03-22T00:00:00.000Z,0,
2025-03-28T00:00:00.000Z,0,1.985512241325133E-5
2025-03-24T00:00:00.000Z,0,
2025-03-23T00:00:00.000Z,0,
2025-03-25T00:00:00.000Z,0,3.8813846566925E-5
2025-05-03T00:00:00.000Z,0,
2025-05-07T00:00:00.000Z,0,
2025-04-30T00:00:00.000Z,0,2.7362656520712004E-5
2025-05-06T00:00:00.000Z,0,3.5701094020623714E-5
2025-05-02T00:00:00.000Z,0,
2025-05-04T00:00:00.000Z,0,
2025-05-01T00:00:00.000Z,0,4.2459069899290194E-5
2025-05-05T00:00:00.000Z,0,1.16261327320899E-5
2025-05-21T00:00:00.000Z,0,2.333726539897422E-5
2025-05-23T00:00:00.000Z,0,
2025-05-16T00:00:00.000Z,0,2.941753155027982E-5
2025-05-18T00:00:00.000Z,0,1.9807373843962394E-5
2025-05-22T00:00:00.000Z,0,
2025-05-19T00:00:00.000Z,0,
2025-05-20T00:00:00.000Z,0,2.5691565724628163E-5
2025-05-17T00:00:00.000Z,0,3.1629096156393643E-5
2025-07-09T00:00:00.000Z,0,5.4521581951121334E-5
2025-07-07T00:00:00.000Z,0,4.720488080541448E-5
2025-07-05T00:00:00.000Z,0,2.5927884356254555E-5
2025-07-06T00:00:00.000Z,0,
2025-07-08T00:00:00.000Z,0,1.694679538339752E-5
2025-07-03T00:00:00.000Z,0,
2025-07-10T00:00:00.000Z,0,4.980964467904414E-5
2025-07-04T00:00:00.000Z,0,
2025-07-29T00:00:00.000Z,0,1.6978427447611465E-5
2025-08-02T00:00:00.000Z,0,2.0047539444269866E-5
2025-07-31T00:00:00.000Z,0,1.8216894013924902E-5
2025-08-01T00:00:00.000Z,0,1.597132107857952E-5
2025-07-30T00:00:00.000Z,0,1.2817941264334617E-5
2025-08-03T00:00:00.000Z,0,1.4641776488133473E-5
2025-08-16T00:00:00.000Z,0,1.5288878273622686E-5
2025-08-13T00:00:00.000Z,0,2.2611004506298168E-5
2025-08-19T00:00:00.000Z,0,
2025-08-12T00:00:00.000Z,0,2.3147702824430514E-5
2025-08-17T00:00:00.000Z,0,1.6937472257548226E-5
2025-08-15T00:00:00.000Z,0,1.9321366852198952E-5
2025-08-18T00:00:00.000Z,0,1.61200478032697E-5
2025-08-14T00:00:00.000Z,0,2.491303724430812E-5
2025-09-25T00:00:00.000Z,0,1.7757958910526493E-5
2025-09-27T00:00:00.000Z,0,1.6741588524382678E-5
2025-09-23T00:00:00.000Z,0,4.668467079648474E-5
2025-09-24T00:00:00.000Z,0,5.080732701874998E-5
2025-09-21T00:00:00.000Z,0,1.006002867143252E-5
2025-09-22T00:00:00.000Z,0,2.1963290479713274E-5
2025-09-28T00:00:00.000Z,0,1.7444143408182652E-5
2025-09-26T00:00:00.000Z,0,1.9150336787073945E-5
2025-01-04T00:00:00.000Z,0,
2025-01-02T00:00:00.000Z,0,
2025-01-06T00:00:00.000Z,0,3.3525586591817304E-5
2025-01-01T00:00:00.000Z,0,
2025-01-03T00:00:00.000Z,0,4.033096204996885E-5
2025-01-07T00:00:00.000Z,0,3.8847459444169595E-5
2024-12-31T00:00:00.000Z,0,
2025-01-05T00:00:00.000Z,0,
2025-06-06T00:00:00.000Z,0,1.8511901438008256E-5
2025-06-05T00:00:00.000Z,0,2.8809754117749737E-5
2025-06-07T00:00:00.000Z,0,
2025-06-02T00:00:00.000Z,0,5.9341165719420784E-5
2025-06-08T00:00:00.000Z,0,2.2731251381931845E-5
2025-06-04T00:00:00.000Z,0,1.8060404130437746E-5
2025-06-03T00:00:00.000Z,0,2.4524495529476553E-5
2025-06-01T00:00:00.000Z,0,
2025-07-28T00:00:00.000Z,0,1.988788875888321E-5
2025-07-27T00:00:00.000Z,0,2.1407712151615314E-5
2025-09-08T00:00:00.000Z,0,2.34446826572607E-5
2025-09-10T00:00:00.000Z,0,
2025-09-12T00:00:00.000Z,0,2.5625838792746374E-5
2025-09-11T00:00:00.000Z,0,2.2006098788551753E-5
2025-09-06T00:00:00.000Z,0,3.203573825582377E-5
2025-09-07T00:00:00.000Z,0,2.0634445475783045E-5
2025-09-09T00:00:00.000Z,0,3.1556514675850686E-5
2025-09-05T00:00:00.000Z,0,1.9575993221600395E-5
2025-01-29T00:00:00.000Z,0,
2025-01-24T00:00:00.000Z,0,
2025-01-25T00:00:00.000Z,0,5.690078229663948E-5
